epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.762,1.68178,2.87518,1.57995,0.87649,0.11995,0.28917,0.13695,1.5494,3.01671,1.38161,0.000647059,0.000647059,0.000647059
2,339.707,1.58161,2.3257,1.51542,0.59948,0.22768,0.27817,0.14726,1.65932,2.78382,1.59243,0.00118367,0.00118367,0.00118367
3,521.231,1.5819,2.10826,1.50377,0.466,0.29296,0.2493,0.11917,1.72182,2.72763,1.71038,0.00158827,0.00158827,0.00158827
4,716.276,1.5605,1.95603,1.50145,0.50218,0.36088,0.35286,0.18504,1.71195,3.07618,1.664,0.001406,0.001406,0.001406
5,945.572,1.52688,1.83622,1.45307,0.57229,0.46761,0.50331,0.2519,1.55863,2.02632,1.50743,0.001208,0.001208,0.001208
6,1142.9,1.45959,1.68048,1.4143,0.6678,0.48732,0.57415,0.31282,1.48493,1.74714,1.40391,0.00101,0.00101,0.00101
7,1341.97,1.43792,1.5764,1.37428,0.70804,0.56017,0.64338,0.36259,1.43658,1.65287,1.37572,0.000812,0.000812,0.000812
8,1544.77,1.3581,1.51659,1.33718,0.75837,0.5835,0.68963,0.4102,1.32859,1.42564,1.28836,0.000614,0.000614,0.000614
9,1754.01,1.27017,1.37781,1.28288,0.78602,0.57183,0.69558,0.4259,1.31383,1.41798,1.27866,0.000416,0.000416,0.000416
10,1937.95,1.26048,1.28501,1.25669,0.76876,0.62817,0.73784,0.46261,1.26246,1.31029,1.23724,0.000218,0.000218,0.000218
